column,source_file_group,measure_group,missing_percent,non_missing_count,dtype,meaning,lunar_use,decision
SEQN,SEQN,Merge key,0.0,15560,float64,Respondent sequence number / participant identifier used to merge NHANES files.,"Merge key for linking participant-level demographics, exam, laboratory, dietary, and questionnaire files.",Keep
P_DEMO_SDDSRVYR,P_DEMO,Demographics,0.0,15560,float64,NHANES data release cycle identifier.,Tracks survey cycle/source period for harmonization.,Keep
P_DEMO_RIDSTATR,P_DEMO,Demographics,0.0,15560,float64,Interview and MEC examination participation status.,Cohort eligibility/filtering for participants with examination data.,Keep
P_DEMO_RIAGENDR,P_DEMO,Demographics,0.0,15560,float64,Gender/sex variable in NHANES demographics.,Core demographic matching/filtering variable.,Keep
P_DEMO_RIDAGEYR,P_DEMO,Demographics,0.0,15560,float64,Age in years at screening.,Core cohort filter for adult/astronaut-like age ranges.,Keep
P_DEMO_RIDRETH1,P_DEMO,Demographics,0.0,15560,float64,Race/Hispanic origin classification.,Demographic context and potential adjustment variable if used.,Review
P_DEMO_RIDRETH3,P_DEMO,Demographics,0.0,15560,float64,Race/Hispanic origin classification with additional categories used in later cycles.,Demographic context and potential adjustment variable if used.,Review
P_DEMO_RIDEXMON,P_DEMO,Demographics,8.1,14300,float64,Six-month examination period indicator.,Timing/context variable for MEC examination period.,Keep
P_DEMO_DMDBORN4,P_DEMO,Demographics,0.0,15560,float64,Country of birth category.,Demographic context; likely support variable rather than core biomarker.,Keep
P_DEMO_SIALANG,P_DEMO,Demographics,0.0,15560,float64,Language used for sample person interview.,Interview context/quality support variable.,Support
P_DEMO_SIAPROXY,P_DEMO,Demographics,0.0,15560,float64,Proxy respondent indicator for sample person interview.,Interview quality/context support variable.,Support
P_DEMO_SIAINTRP,P_DEMO,Demographics,0.0,15560,float64,Interpreter use indicator for sample person interview.,Interview quality/context support variable.,Support
P_DEMO_FIALANG,P_DEMO,Demographics,6.93,14481,float64,Language used for family interview.,Interview context/quality support variable.,Support
P_DEMO_FIAPROXY,P_DEMO,Demographics,6.93,14481,float64,Proxy respondent indicator for family interview.,Interview quality/context support variable.,Support
P_DEMO_FIAINTRP,P_DEMO,Demographics,6.93,14481,float64,Interpreter use indicator for family interview.,Interview quality/context support variable.,Support
P_DEMO_MIALANG,P_DEMO,Demographics,29.31,11000,float64,Language used for MEC interview.,Interview context/quality support variable.,Support
P_DEMO_MIAPROXY,P_DEMO,Demographics,29.31,11000,float64,Proxy respondent indicator for MEC interview.,Interview quality/context support variable.,Support
P_DEMO_MIAINTRP,P_DEMO,Demographics,29.31,11000,float64,Interpreter use indicator for MEC interview.,Interview quality/context support variable.,Support
P_DEMO_WTINTPRP,P_DEMO,Demographics,0.0,15560,float64,Interview sample weight for the 2017-March 2020 pre-pandemic file.,Use if making weighted interview-level estimates.,Keep
P_DEMO_WTMECPRP,P_DEMO,Demographics,0.0,15560,float64,MEC examination sample weight for the 2017-March 2020 pre-pandemic file.,Use if making weighted examination/laboratory estimates.,Keep
P_DEMO_SDMVPSU,P_DEMO,Demographics,0.0,15560,float64,Masked variance pseudo-PSU for survey design.,Needed with weights/strata for survey-design-aware analysis.,Keep
P_DEMO_SDMVSTRA,P_DEMO,Demographics,0.0,15560,float64,Masked variance pseudo-stratum for survey design.,Needed with weights/PSU for survey-design-aware analysis.,Keep
P_DEMO_INDFMPIR,P_DEMO,Demographics,14.15,13359,float64,Family income to poverty ratio.,Socioeconomic context/support covariate.,Keep
P_BMX_BMDSTATS,P_BMX,Body measures,8.1,14300,float64,Body measures component status.,Quality/status filter for body-measure availability.,Keep
P_BMX_BMXWT,P_BMX,Body measures,9.54,14075,float64,Body weight.,Core body-size/health profile variable for cohort context.,Support
P_BMX_BMXHT,P_BMX,Body measures,15.44,13157,float64,Standing height.,Core body-size variable and BMI context.,Keep
P_BMX_BMXBMI,P_BMX,Body measures,15.57,13137,float64,Body mass index.,Core body-composition/health screening variable.,Keep
P_BMX_BMXLEG,P_BMX,Body measures,29.41,10984,float64,Upper leg length.,Body measures support variable; potential anthropometric context.,Keep
P_BMX_BMXARML,P_BMX,Body measures,13.3,13490,float64,Upper arm length.,Body measures support variable; potential anthropometric context.,Keep
P_BMX_BMXARMC,P_BMX,Body measures,13.34,13484,float64,Arm circumference.,Body composition/anthropometric context.,Keep
P_BMX_BMXWAIST,P_BMX,Body measures,19.19,12574,float64,Waist circumference.,Cardiometabolic/body composition context.,Keep
P_CBC_LBXWBCSI,P_CBC,CBC / hematology,21.88,12156,float64,White blood cell count.,Core hematology/immune-adjacent biomarker.,Keep
P_CBC_LBXLYPCT,P_CBC,CBC / hematology,21.91,12151,float64,Lymphocyte percent.,Immune cell distribution marker.,Keep
P_CBC_LBXMOPCT,P_CBC,CBC / hematology,21.91,12151,float64,Monocyte percent.,Immune cell distribution marker.,Keep
P_CBC_LBXNEPCT,P_CBC,CBC / hematology,21.91,12151,float64,Neutrophil percent.,Immune cell distribution marker.,Keep
P_CBC_LBXEOPCT,P_CBC,CBC / hematology,21.91,12151,float64,Eosinophil percent.,Immune/allergy-related cell distribution marker.,Keep
P_CBC_LBXBAPCT,P_CBC,CBC / hematology,21.91,12151,float64,Basophil percent.,Immune/allergy-related cell distribution marker.,Keep
P_CBC_LBDLYMNO,P_CBC,CBC / hematology,21.91,12151,float64,Lymphocyte number.,Immune cell count marker.,Keep
P_CBC_LBDMONO,P_CBC,CBC / hematology,21.91,12151,float64,Monocyte number.,Immune cell count marker.,Keep
P_CBC_LBDNENO,P_CBC,CBC / hematology,21.91,12151,float64,Neutrophil number.,Immune cell count marker.,Keep
P_CBC_LBDEONO,P_CBC,CBC / hematology,21.91,12151,float64,Eosinophil number.,Immune/allergy-related cell count marker.,Keep
P_CBC_LBDBANO,P_CBC,CBC / hematology,21.91,12151,float64,Basophil number.,Immune/allergy-related cell count marker.,Keep
P_CBC_LBXRBCSI,P_CBC,CBC / hematology,21.88,12156,float64,Red blood cell count.,Core hematology/physiological status marker.,Keep
P_CBC_LBXHGB,P_CBC,CBC / hematology,21.88,12156,float64,Hemoglobin.,Core hematology/oxygen-carrying capacity marker.,Keep
P_CBC_LBXHCT,P_CBC,CBC / hematology,21.88,12156,float64,Hematocrit.,Core hematology marker.,Keep
P_CBC_LBXMCVSI,P_CBC,CBC / hematology,21.88,12156,float64,Mean corpuscular volume.,Red blood cell index / hematology support marker.,Keep
P_CBC_LBXMC,P_CBC,CBC / hematology,21.88,12156,float64,Mean corpuscular hemoglobin concentration.,Red blood cell index / hematology support marker.,Keep
P_CBC_LBXMCHSI,P_CBC,CBC / hematology,21.88,12156,float64,Mean corpuscular hemoglobin.,Red blood cell index / hematology support marker.,Keep
P_CBC_LBXRDW,P_CBC,CBC / hematology,21.88,12156,float64,Red cell distribution width.,Red blood cell variability / hematology marker.,Keep
P_CBC_LBXPLTSI,P_CBC,CBC / hematology,21.88,12156,float64,Platelet count.,Core hematology/coagulation-adjacent marker.,Keep
P_CBC_LBXMPSI,P_CBC,CBC / hematology,21.88,12156,float64,Mean platelet volume.,Platelet index / hematology support marker.,Keep
P_CBC_LBXNRBC,P_CBC,CBC / hematology,21.91,12151,float64,Nucleated red blood cells.,Hematology support marker; review before primary modeling.,Keep
P_COT_LBXCOT,P_COT,Cotinine / tobacco exposure,26.77,11395,float64,Serum cotinine.,Measured tobacco exposure filter for non-smoking/low-exposure cohort.,Keep
P_COT_LBDCOTLC,P_COT,Cotinine / tobacco exposure,26.77,11395,float64,Serum cotinine lower-limit/comment code.,Quality/comment flag for cotinine measurement.,Support
P_COT_LBXHCOT,P_COT,Cotinine / tobacco exposure,26.77,11395,float64,Serum hydroxycotinine.,Measured tobacco/nicotine exposure biomarker.,Keep
P_COT_LBDHCOLC,P_COT,Cotinine / tobacco exposure,26.77,11395,float64,Hydroxycotinine lower-limit/comment code.,Quality/comment flag for hydroxycotinine measurement.,Support
P_ALB_CR_URXUMA,P_ALB,Albumin / creatinine,19.6,12510,float64,Urine albumin.,Renal/general health biomarker.,Keep
